species,year,orig_grid
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2006,SK53M
species13,2007,SK53M
species13,2007,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2008,SK53M
species13,2009,SK53M
species13,2010,SK53M
species13,2011,SK53M
species13,2011,SK53M
species13,2011,SK53M
species13,2011,SK53M
species13,2002,SK53R
species13,1999,SK53R
species13,2000,SK53R
species13,2000,SK53R
species13,2001,SK53R
species13,2001,SK53R
species13,2003,SK53S
species13,2004,SK53S
species13,1999,SK53T
species13,2000,SK53T
species13,2000,SK53T
species13,2000,SK53T
species13,2000,SK53T
species13,2001,SK53T
species13,2001,SK53T
species13,2002,SK53T
species13,2002,SK53T
species13,2002,SK53T
species13,2002,SK53T
species13,2003,SK53T
species13,2003,SK53T
species13,2004,SK53T
species13,2004,SK53T
species13,2005,SK53T
species13,2007,SK53T
species13,2008,SK53T
species13,2009,SK53T
species13,2009,SK53T
species13,2010,SK53T
species13,2002,SK555315
species13,1999,SK5635
species13,1999,SK5635
species13,2001,SK5635
species13,2009,SK5635
species13,2010,SK5635
species16,2001,SK5036
species16,2002,SK5036
species16,2002,SK5036
species16,1998,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,1999,SK5036
species16,2000,SK5036
species16,2000,SK5036
species16,2000,SK5036
species16,2000,SK5036
species16,2000,SK5036
species16,2000,SK5036
species16,2000,SK5036
species16,2001,SK5036
species16,2001,SK5036
species16,2002,SK5036
species16,2002,SK5036
species16,2002,SK5036
species16,2002,SK5036
species16,2002,SK5036
species16,2003,SK5036
species16,2003,SK5036
species16,2003,SK5036
species16,2003,SK5036
species16,2003,SK5036
species16,2003,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2004,SK5036
species16,2005,SK5036
species16,2005,SK5036
species16,2005,SK5036
species16,2005,SK5036
species16,2005,SK5036
species16,2005,SK5036
species16,2005,SK5036
species16,2005,SK522327
species16,2007,SK522327
species16,2008,SK522327
species16,1999,SK535320
species16,1999,SK535320
species16,2000,SK535320
species16,2000,SK535320
species16,2000,SK535320
species16,2000,SK535320
species16,2000,SK535320
species16,1998,SK535354
species16,2002,SK535354
species16,2002,SK535354
species16,1999,SK53A
species16,2000,SK53A
species16,2001,SK53A
species16,2000,SK53F
species16,1998,SK53G
species16,1998,SK53G
species16,1999,SK53G
species16,1999,SK53G
species16,1999,SK53G
species16,1999,SK53G
species16,2000,SK53G
